nome,cargo,sexo,idade,salario
Jerry Gillett,analista,M,47,1597.22
Kim Straugh,vendedor,M,43,1220.63
Edmund Bezanson,vendedor,M,27,1260.35
Mattie Shows,analista,F,44,1484.2
Alicia Ragsdale,vendedor,F,54,1205.8
Earl Rivas,operador,M,60,1000.89
Arthur Helms,supervisor,M,34,2656.55
Robert Knobloch,vendedor,M,33,1156.87
Mike Anderson,atendente:,M,60,1065.49
Richard Meyer,operador,M,59,1082.56
Beth Acoff,operador,F,54,1077.26
Jessie Edington,operador,F,48,1001.75
Charlie Ravenell,atendent,M,46,901.75
Jacob Morgan,operador,M,26,1019.68
Charles Para,operador,M,52,1065.72
Maryanne Hedgepeth,analista,F,53,1616.42
Tasha Parker,analista,F,35,1278.4
James Warren,operador,M,58,896.52
John Nix,analista,M,32,1520.79
Bernice Satterfield,operador,F,52,840.37
Allyson Taylor,vendedor,F,52,1188.33
Michael Willis,analista,M,34,1448.31
Patrick Brown,gerente,M,56,5350.2
Selena Myers,operador,F,40,1021.68
Elizabeth Vo,operador,F,35,1280.27
Leah Laxton,operador,F,24,939.25
James Duran,analista,M,57,1422.12
Gayle Perez,analista,F,34,1502.7
Barbara Lanasa,analista,F,54,1475.59
Betty Dommer,diretor,F,54,9525.78
William Alamo,diretor,M,40,8720.96
Scott Herman,analista,M,23,1640.58
Lois Hicks,atendente:,F,25,1171.31
James Schwulst,operador,M,20,855.44
Elizabeth Guthrie,operador,F,56,795.58
Alexandria Sims,analista,F,48,1595.54
Brenda Johnson,operador,F,20,1063.37
Gerald Smith,atendente:,M,22,829.17
Robin Wenzel,operador,M,37,1077.87
Matthew Anderson,operador,M,51,1212.35
James Manning,atendent,M,29,882.25
Thomas Vecker,analista,M,52,1628.65
Georgia Brooks,atendente:,F,52,852.82
Mary Pitts,analista,F,51,1388.28
Regina Martinez,analista,F,48,1472.38
Ralph Reed,analista,M,22,1465.04
Regina Kimmell,analista,F,59,1584.57
Steve Caldwell,operador,M,48,991.52
David Harper,atendente:,M,25,874.08
Ana Goldsmith,analista,F,33,1509.14
Timothy Saddler,operador,M,57,939.81
Chad Travis,analista,M,41,1709.37
Jayne Stephenson,vendedor,F,33,1142.74
Allison Rouse,supervisor,F,44,2670.36
Rodney Jacobson,operador,M,55,1096.55
Linda Mosley,operador,F,27,980.26
Thomas Peron,vendedor,M,29,1176.54
Melody Johnson,supervisor,F,52,3240.69
Gloria Michels,atendent,F,41,950.26
John Brown,analista,M,23,1803.49
Jillian Pope,atendente:,F,30,1016.13
Travis Lowe,atendent,M,25,936.69
Lillian Walters,operador,F,30,838.03
Antoinette Nohel,analista,F,46,1583.14
Deborah Cornelius,operador,F,32,1183.74
Frederick Brown,analista,M,35,1341.17
Gary Burns,atendente:,M,51,952.63
Jeffery Dunleavy,analista,M,35,1654.86
John Vankirk,atendente:,M,57,892.26
Kelvin Perez,operador,M,55,1247.08
Jerry Baughman,atendent,M,42,824.06
Stephen Guerra,operador,M,48,1008.46
James Kuhl,operador,M,21,886.71
Maria Scharf,analista,F,52,1865.84
Crystal Holt,analista,F,59,1322.14
Lillie Keener,atendente:,F,27,801.94
Richard Boots,operador,M,31,962.63
Keith Allyn,operador,M,57,1134.53
John Sylvester,atendent,M,26,1015.97
Richard Ellis,operador,M,34,1063.78
Kenny Strong,operador,M,41,975.02
Susie Wedel,operador,F,42,1051.02
Kenneth Dittman,vendedor,M,32,1220.88
Paul Fields,diretor,M,34,11400.65
Vickie Clark,atendent,F,58,883.41
David Robertson,atendente:,M,27,844.65
Jose Goodman,operador,M,32,1081.59
John Hughes,vendedor,M,38,1143.71
Jesus Taylor,operador,M,51,988.45
Sandra Balasco,supervisor,F,26,2989.75
Maricruz Vetter,operador,F,27,918.39
Gladys Ganey,analista,F,37,1416.65
Maria Gargano,operador,F,39,966.98
Carolyn Hoch,vendedor,F,43,1105.58
Sheila Acevedo,vendedor,F,51,1221.58
Nancy Ahlman,analista,F,55,1472.36
Ken Bickham,vendedor,M,24,1348.33
Matthew Liggins,gerente,M,59,4640.12
Edward Rice,operador,M,21,927.33
Brittney Mckay,atendente:,F,42,906.06
Terrance Milano,atendente:,M,25,1002.78
David Steinmetz,vendedor,M,46,1095.79
Walter Bickford,vendedor,M,48,1273.91
Scott Davis,vendedor,M,21,1095.38
Dennis Barnfield,vendedor,M,39,1106.93
Kevin Shepard,atendent,M,38,841.92
Laurence Fye,supervisor,M,36,3454.83
Nancy Roberts,vendedor,F,36,1251.99
